Название статьи	Дата публикации	Автор статьи	Рубрика	Путь к файлу	Название статьи (lemma)
УСПЕХОВ В НОВОМ ГОДУ!	Январь 14th, 2013 02:24 ПП	-	Профессиональный праздник	2013/January/919.txt	успех в новый год!
РАСШИРЯЯ КРУГОЗОР В МИРЕ ИСКУССТВ	Январь 14th, 2013 02:23 ПП	-	Разное	2013/January/920.txt	расширять кругозор в мир искусство
ПОЗДРАВИЛИ С ЮБИЛЕЕМ	Январь 16th, 2013 02:46 ПП	-	В администрации района	2013/January/921.txt	поздравлять с юбилей
НА СВОЕМ ПОСТУ	Январь 16th, 2013 02:45 ПП	-	Разное	2013/January/922.txt	на свой пост
ОБЛАСТНОЙ ПРАЗДНИК УРОЖАЯ	Ноябрь 9th, 2012 09:28 ДП	-	Район: день за днем	2012/November/923.txt	областной праздник урожай
ПОКА ЛЕТО, ГОТОВЬ САНИ	Сентябрь 21st, 2012 11:01 ДП	-	Район: день за днем	2012/September/924.txt	пока лето, готовить сани
ВСЁ ПО-ЧЕСТНОМУ!	Сентябрь 21st, 2012 11:00 ДП	-	Район: день за днем	2012/September/925.txt	все по-честному!
В СТЕКЛЯННОЙ РАДИЦЕ БУДЕТ СВОЙ ПОЖАРНЫЙ АВТОМОБИЛЬ	Сентябрь 21st, 2012 10:59 ДП	-	Район: день за днем	2012/September/926.txt	в стеклянный радица быть свой пожарный автомобиль
МАРШРУТНОЕ ТАКСИ — К БОЛЬНИЦЕ	Сентябрь 21st, 2012 10:58 ДП	-	Район: день за днем	2012/September/927.txt	маршрутный такси — к больница
СЕНТЯБРЬСКИЙ САЛЮТ ПОБЕДЕ	Сентябрь 21st, 2012 10:58 ДП	-	Район: день за днем	2012/September/928.txt	сентябрьский салют победа
ЭХО ВОЙНЫ	Сентябрь 14th, 2012 01:32 ПП	-	Наши земляки	2012/September/929.txt	эхо война
СПАСИБО ЗА ПОМОЩЬ!	Сентябрь 14th, 2012 01:31 ПП	-	Разное	2012/September/930.txt	спасибо за помощь!
В ШТАТНОМ РЕЖИМЕ	Сентябрь 14th, 2012 01:30 ПП	-	Район: день за днем	2012/September/931.txt	в штатный режим
БОЛЬШИНСТВО ВОПРОСОВ РЕШАЮТСЯ	Сентябрь 14th, 2012 01:29 ПП	-	Народ и власть	2012/September/932.txt	большинство вопрос решаться
ОН БЫЛ НАСТОЯЩИМ РУССКИМ ОФИЦЕРОМОН БЫЛ НАСТОЯЩИМ РУССКИМ ОФИЦЕРОМ	Сентябрь 14th, 2012 01:28 ПП	-	Наши земляки	2012/September/933.txt	он быть настоящий русский офицеромон быть настоящий русский офицер
МОЛОТИНСКОЙ ШКОЛЕ ЕСТЬ ЧЕМ ГОРДИТЬСЯ	Сентябрь 6th, 2012 04:58 ПП	-	Район: день за днем	2012/September/934.txt	молотинский школа быть что гордиться
46 ЛЕТ, ОТДАННЫЕ ШКОЛЕ	Сентябрь 7th, 2012 10:35 ДП	-	Наши земляки	2012/September/935.txt	46 год, отдавать школа
ПОМОЩЬ СТАЛА РАЗМЕННОЙ МОНЕТОЙ?	Сентябрь 7th, 2012 10:34 ДП	-	Народ и власть	2012/September/936.txt	помощь становиться разменный монета?
СПАСИБО ЗА УВЕРЕННОСТЬ В ЗАВТРАШНЕМ ДНЕ	Сентябрь 7th, 2012 10:32 ДП	-	Народ и власть	2012/September/937.txt	спасибо за уверенность в завтрашний день
КРАСКИ ПРАЗДНИКА	Сентябрь 7th, 2012 10:31 ДП	-	Разное	2012/September/938.txt	краска праздник
НЕ ПОВТОРЯТЬ ЧУЖИХ ОШИБОК!	Сентябрь 7th, 2012 10:30 ДП	-	Народ и власть	2012/September/939.txt	не повторять чужой ошибка!
БРЯНЦЫ В ОТЕЧЕСТВЕННОЙ ВОЙНЕ 1812 ГОДА	Сентябрь 7th, 2012 10:29 ДП	-	Это интересно	2012/September/940.txt	брянец в отечественный война 1812 год
КРЕПКАЯ, НАДЕЖНАЯ, ОТВЕТСТВЕННАЯ ВЛАСТЬ	Июль 25th, 2012 02:52 ПП	-	Народ и власть	2012/July/941.txt	крепкий, надежный, ответственный власть
ДОСТРОИМ — И БУДУТ ЖИТЬ	Июль 25th, 2012 02:50 ПП	-	Район: день за днем	2012/July/942.txt	достраивать — и быть жить
Благодарность	Июль 25th, 2012 02:46 ПП	-	Народ и власть	2012/July/943.txt	благодарность
ЖИЛЬЕ ПЕРЕСЕЛЕНЦАМ И ЛИКВИДАТОРАМ	Июль 25th, 2012 02:45 ПП	-	Район: день за днем	2012/July/944.txt	жилье переселенец и ликвидатор
ПРИГЛАШАЕМ ПОСЕТИТЬ МЕМОРИАЛЬНЫЙ КОМПЛЕКС «ХАЦУНЬ»	Июль 25th, 2012 02:44 ПП	-	Информация	2012/July/945.txt	приглашать посещать мемориальный комплекс «хацунь»
ГОТОВИМСЯ К НОВОМУ УЧЕБНОМУ ГОДУ	Июль 25th, 2012 02:43 ПП	-	Район: день за днем	2012/July/946.txt	готовиться к новый учебный год
«МОЯ ПОЗИЦИЯ — ОДНОЗНАЧНАЯ, БЕЗОГОВОРОЧНАЯ ПОДДЕРЖКА ГУБЕРНАТОРА НИКОЛАЯ ДЕНИНА»	Июль 25th, 2012 02:41 ПП	-	Район: день за днем	2012/July/947.txt	«мой позиция — однозначный, безоговорочный поддержка губернатор николай денин»
ДОШЛО ДО ДЕЛА  УГОЛОВНОГО?	Июль 25th, 2012 02:34 ПП	-	Народ и власть	2012/July/948.txt	доходить до дело  уголовный?
РОДНОМУ СЕЛУ МЫ СЛАВУ И ЧЕСТЬ ВОЗДАЕМ!	Июль 25th, 2012 02:22 ПП	-	Район: день за днем	2012/July/949.txt	родной село мы слава и честь воздавать!
ЭНЕРГОРЕСУРСЫ ЛЮБЯТ СЧЁТ	Июль 25th, 2012 02:17 ПП	-	Район: день за днем	2012/July/950.txt	энергоресурсы любить счет
БРЯНСКИЙ РАЙОН СРЕДИ ЛУЧШИХ	Июль 4th, 2012 03:38 ПП	-	В администрации района	2012/July/951.txt	брянский район среди хороший
100 ЛЕТ НЕ В ОДИНОЧЕСТВЕ	Июль 4th, 2012 03:34 ПП	-	Наши земляки	2012/July/952.txt	100 год не в одиночество
Семинар по вопросам государственной поддержки бизнеса в	Июль 18th, 2012 04:09 ПП	-	Информация	2012/July/953.txt	семинар по вопрос государственный поддержка бизнес в
Гендиректор РТРС Андрей Романченко о проблемах замены цифровых ТВ-стандартов	Май 22nd, 2012 10:13 ДП	-	Разное	2012/May/954.txt	гендиректор РТРС андрей романченко о проблема замена цифровой тв-стандарт
ЕЁ ВЕЛИЧЕСТВО – СЕМЬЯ	Май 16th, 2012 01:49 ПП	-	Наши земляки	2012/May/955.txt	ее величество – семья
В  ПАРТИЗАНСКОМ СЕЛЕ ЖУРИНИЧИ ПОМНЯТ СВОИХ ЗЕМЛЯКОВ	Май 16th, 2012 01:47 ПП	-	Наши земляки	2012/May/956.txt	в  партизанский село журиничи помнить свой земляк
МАМА! Всего четыре буквы, а смысл — длиною в жизнь…	Май 16th, 2012 01:45 ПП	-	Разное	2012/May/957.txt	мама! всего четыре буква, а смысл — длина в жизнь…
КАК МАЛО ТЕХ, КТО ВОЕВАЛ, ОСТАЛОСЬ…	Май 11th, 2012 03:19 ПП	-	В администрации района	2012/May/958.txt	как мало тот, кто воевать, оставаться…
ПОСЕТИЛИ МЕМОРИАЛ В ХАЦУНИ	Май 11th, 2012 03:09 ПП	-	Судьбы людские	2012/May/959.txt	посещать мемориал в хацуня
    ПРИШКОЛЬНЫЕ ЛАГЕРЯ ОТКРОЮТСЯ	Май 11th, 2012 03:07 ПП	-	Разное	2012/May/960.txt	    пришкольный лагерь открываться
А ВОТ МЫ ДОЖДАЛИСЬ…	Май 5th, 2012 10:09 ДП	-	В администрации района	2012/May/961.txt	а вот мы дождаться…
НА ДЕНЬ ПРИЗЫВНИКА — В ХАЦУНЬ	Май 5th, 2012 10:07 ДП	-	Район: день за днем	2012/May/962.txt	на день призывник — в хацунь
Субботники в МИЧУРИНСКом  	Май 5th, 2012 10:03 ДП	-	Район: день за днем	2012/May/963.txt	субботник в мичуринский  
НАЧИНАЕТСЯ РЕАЛИЗАЦИЯ КРУПНОГО  ПРОЕКТА В БРЯНСКОМ РАЙОНЕ	Май 3rd, 2012 02:20 ПП	-	Район: день за днем	2012/May/964.txt	начинаться реализация крупный  проект в брянский район
СЕВ ТРЕБУЕТ СПРИНТЕРСКОГО ТЕМПА	Май 3rd, 2012 02:19 ПП	-	Район: день за днем	2012/May/965.txt	садиться требовать спринтерский темп
РАБОТА НА СУББОТНИКАХ	Май 3rd, 2012 02:16 ПП	-	Район: день за днем	2012/May/966.txt	работа на субботник
«ГОРЯЧАЯ ЛИНИЯ» ПО ВОПРОСАМ ПРИЗЫВА	Май 3rd, 2012 02:15 ПП	-	Информация	2012/May/967.txt	«горячий линия» по вопрос призыв
ВОЙНЕ 1812 ГОДА ПОСВЯЩАЕТСЯ	Май 3rd, 2012 02:14 ПП	-	Разное	2012/May/968.txt	война 1812 год посвящаться
МОЛОДЁЖНАЯ ВСТРЕЧА В МЕЖДУНАРОДНЫЙ ГОД КООПЕРАТИВОВ	Март 16th, 2012 09:34 ДП	-	Разное	2012/March/969.txt	молодежный встреча в международный год кооператив
В ЧИСЛЕ  ЛУЧШИХ	Март 16th, 2012 09:33 ДП	-	Спорт	2012/March/970.txt	в число  хороший
ПРОПАЛ РЕБЕНОК	Март 16th, 2012 09:10 ДП	-	Разное	2012/March/971.txt	пропадать ребенок
В ПОДАРОК АМБУЛАТОРИИ	Март 14th, 2012 08:59 ДП	-	Район: день за днем	2012/March/972.txt	в подарок амбулатория
БИАТЛОН, КАНАТ И ЛЫЖИ — ЧТОБЫ К СПОРТУ БЫТЬ ПОБЛИЖЕ	Март 14th, 2012 08:58 ДП	-	Район: день за днем	2012/March/973.txt	биатлон, канат и лыжа — чтобы к спорт быть близко
«НАШИ ТАЛАНТЫ — ТЕБЕ, РОССИЯ»	Март 14th, 2012 08:57 ДП	-	Разное	2012/March/974.txt	«наш талант — ты, россия»
К СВЕДЕНИЮ ЖИТЕЛЕЙ РАЙОНА	Март 14th, 2012 08:56 ДП	-	Информация	2012/March/975.txt	к сведение житель район
УБЕДИТЕЛЬНАЯ ПОБЕДА	Март 14th, 2012 08:56 ДП	-	В администрации района	2012/March/976.txt	убедительный победа
В ЧЕМ ЖЕНСКОЕ СЧАСТЬЕ?	Март 7th, 2012 09:28 ДП	-	Судьбы людские	2012/March/977.txt	в чем женский счастие?
ЧИСТЫЕ ВЫБОРЫ — ЧИСТАЯ ПОБЕДА!	Март 6th, 2012 10:12 ПП	-	Район: день за днем	2012/March/978.txt	чистый выборы — чистый победа!
РАБОТАЛИ ЧЕСТНО И ДОБРОСОВЕСТНО	Март 6th, 2012 10:10 ПП	-	Район: день за днем	2012/March/979.txt	работать честно и добросовестно
ЗА САМОГО ДОСТОЙНОГО	Март 6th, 2012 10:08 ПП	-	Район: день за днем	2012/March/980.txt	за сам достойный
ВМЕСТЕ СО ВСЕЙ СТРАНОЙ	Март 6th, 2012 10:07 ПП	-	Район: день за днем	2012/March/981.txt	вместе со весь страна
ДЕБАТЫ – 2012	Март 6th, 2012 04:52 ПП	-	В администрации района	2012/March/982.txt	дебаты – 2012
НАШИ СПОРТСМЕНЫ — ЛУЧШИЕ!	Март 6th, 2012 04:51 ПП	-	Спорт	2012/March/983.txt	наш спортсмен — хороший!
УЧАСТНИЦА БАЛА ПОБЕДЫ	Январь 13th, 2012 09:48 ДП	-	Наши земляки	2012/January/984.txt	участница бал победа
НА СТРАЖЕ ПРАВ И СВОБОД ЧЕЛОВЕКА	Январь 13th, 2012 09:47 ДП	-	Профессиональный праздник	2012/January/985.txt	на стража право и свобода человек
ГОТОВИМСЯ К ИТОГОВОЙ АТТЕСТАЦИИ	Январь 13th, 2012 09:44 ДП	-	Информация	2012/January/986.txt	готовиться к итоговый аттестация
МАЛОЕ ПОЛПИНО: РАЗГОВОР ПО СУЩЕСТВУ	Ноябрь 23rd, 2011 02:45 ПП	-	Народ и власть	2011/November/987.txt	малый полпино: разговор по существо
ПРОБЛЕМЫ НУЖНО ЗНАТЬ, ЧТОБЫ ГРАМОТНО ИХ РЕШАТЬ	Ноябрь 16th, 2011 12:51 ПП	-	Район: день за днем	2011/November/988.txt	проблема нужно знать, чтобы грамотно они решать
ГЛУБИНКА НЕ ЗАБЫТА	Ноябрь 16th, 2011 10:53 ДП	-	Район: день за днем	2011/November/989.txt	глубинка не забытый
НАМ СЕРДЦЕ РАСТОПИЛ ДВОРЕЦ ЛЕДОВЫЙ	Ноябрь 16th, 2011 10:52 ДП	-	Разное	2011/November/990.txt	мы сердце растапливать дворец ледовый
ПРОБЛЕМА БУДЕТ РЕШЕНА	Ноябрь 10th, 2011 09:36 ДП	-	Район: день за днем	2011/November/991.txt	проблема быть решать
В ШКОЛУ — НА ШКОЛЬНОМ АВТОБУСЕ	Ноябрь 10th, 2011 09:35 ДП	-	Район: день за днем	2011/November/992.txt	в школа — на школьный автобус
ВНИМАНИЮ НЕРАБОТАЮЩИХ РОДИТЕЛЕЙ!	Ноябрь 10th, 2011 09:25 ДП	-	Службы информируют	2011/November/993.txt	внимание неработающий родитель!
ГОСУДАРСТВО ВЫПОЛНЯЕТ СВОИ ОБЯЗАТЕЛЬСТВА	Ноябрь 10th, 2011 09:24 ДП	-	Район: день за днем	2011/November/994.txt	государство выполнять свой обязательство
ЗДОРОВЬЯ, СЧАСТЬЯ, ДОБРА!	Сентябрь 8th, 2011 10:23 ДП	-	Разное	2011/September/995.txt	здоровье, счастие, добро!
ЛОЖНЫЕ SMS-СООБЩЕНИЯ	Сентябрь 8th, 2011 10:21 ДП	-	Службы информируют	2011/September/996.txt	ложный SMS-сообщение
В ПУТЁВКЕ — 90 ПЕРВОКЛАССНИКОВ!	Сентябрь 2nd, 2011 10:50 ДП	-	Район: день за днем	2011/September/997.txt	в путевка — 90 первоклассник!
1 сентября	Сентябрь 2nd, 2011 10:47 ДП	-	Разное	2011/September/998.txt	1 сентябрь
СПАСИБО ЗА ПОМОЩЬ!	Сентябрь 2nd, 2011 10:39 ДП	-	Разное	2011/September/999.txt	спасибо за помощь!
КОРРЕКТИВЫ ВНОСЯТСЯ НА МАРШЕ	Сентябрь 2nd, 2011 10:38 ДП	-	Народ и власть	2011/September/1000.txt	корректив вноситься на марш
ШКОЛА ДЕРЖИТ КУРС НА БУДУЩЕЕ	Сентябрь 2nd, 2011 10:37 ДП	-	Район: день за днем	2011/September/1001.txt	школа держать курс на будущее
ПРАЗДНИК ПОЭЗИИ В ГРАФСКОЙ УСАДЬБЕ	Сентябрь 8th, 2011 10:29 ДП	-	Разное	2011/September/1002.txt	праздник поэзия в графский усадьба
МЫ ПРИШЛИ — ВСТРЕЧАЙТЕ НАС!	Сентябрь 8th, 2011 10:28 ДП	-	Район: день за днем	2011/September/1003.txt	мы приходить — встречать мы!
ДЕНЬ СЕЛА В ДОМАШОВЕ	Сентябрь 8th, 2011 10:27 ДП	-	Район: день за днем	2011/September/1004.txt	день садиться в домашов
ГЕРОИЧЕСКИЕ СТРАНИЦЫ БРЯНЩИНЫ	Сентябрь 8th, 2011 10:26 ДП	-	Район: день за днем	2011/September/1005.txt	героический страница брянщина
НА ПЕРВООЧЕРЕДНОМ КОНТРОЛЕ	Сентябрь 8th, 2011 10:25 ДП	-	Район: день за днем	2011/September/1006.txt	на первоочередный контроль
ПАМЯТНЫЙ ЗНАК В ЧЕСТЬ ЛЁТЧИКОВ	Сентябрь 8th, 2011 10:24 ДП	-	Разное	2011/September/1007.txt	памятный знак в честь летчик
УБОРОЧНАЯ НА ФИНИШНОЙ ПРЯМОЙ	Сентябрь 16th, 2011 10:13 ДП	-	Район: день за днем	2011/September/1008.txt	уборочная на финишный прямая
ОСЕННИЙ МАРАФОН	Сентябрь 16th, 2011 10:03 ДП	-	Район: день за днем	2011/September/1009.txt	осенний марафон
ВПЕРЕДИ — УБОРКА ЗЕРНОВЫХ	Июль 15th, 2011 10:19 ДП	-	В администрации района	2011/July/1010.txt	впереди — уборка зернов
НЕКОГДА ОТДЫХАТЬ ЛЕТОМ!	Июль 15th, 2011 10:18 ДП	-	Разное	2011/July/1011.txt	некогда отдыхать лето!
ДВЕ ТРОЙНИ И ТРИ ДВОЙНИ	Июль 11th, 2011 09:36 ДП	-	Район: день за днем	2011/July/1012.txt	два тройня и три двойня
СЕМЬЯ — ИСТОЧНИК ЛЮБВИ, УВАЖЕНИЯ, СЧАСТЬЯ	Июль 11th, 2011 09:35 ДП	-	В администрации района	2011/July/1013.txt	семья — источник любовь, уважение, счастие
ПАМЯТЬ	Июль 7th, 2011 12:58 ПП	-	Это интересно	2011/July/1014.txt	память
Память	Июль 7th, 2011 12:54 ПП	-	-	2011/July/1015.txt	память
ЭКСПОНАТЫ С МЕСТА ПАДЕНИЯ САМОЛЕТА ПЕРЕДАНЫ В МУЗЕЙ	Июль 7th, 2011 12:51 ПП	-	Район: день за днем	2011/July/1016.txt	экспонат с место падение самолет передавать в музей
СЕНАЖ ПО-МИХАЙЛОВСКИ	Июль 7th, 2011 12:50 ПП	-	Район: день за днем	2011/July/1017.txt	сенаж по-михайловски
ПРОЕКТ ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ	Июль 4th, 2011 11:20 ДП	-	Район: день за днем	2011/July/1018.txt	проект федеральный значение
ВПЕРЕДИ — НАЧАЛО БОЛЬШОЙ И ПРЕКРАСНОЙ ЖИЗНИ	Июль 4th, 2011 11:18 ДП	-	Район: день за днем	2011/July/1019.txt	впереди — начало большой и прекрасный жизнь
ИНВЕСТИЦИОННЫЙ ШЛЮЗ РАБОТАЕТ	Июль 7th, 2011 12:49 ПП	-	Народ и власть	2011/July/1020.txt	инвестиционный шлюз работать
ПРАЗДНИК СО СЛЕЗАМИ НА ГЛАЗАХ	Май 20th, 2011 10:10 ДП	-	Район: день за днем	2011/May/1021.txt	праздник со слеза на глаз
ЗА ЗЕМЛЮ БРЯНСКУЮ!	Май 20th, 2011 10:09 ДП	-	Район: день за днем	2011/May/1022.txt	за земля брянский!
СЧАСТЬЕ — В ДЕТЯХ	Май 20th, 2011 10:08 ДП	-	В администрации района	2011/May/1023.txt	счастие — в ребенок
ЖИЛЬЕ ДЛЯ ВЕТЕРАНОВ	Май 19th, 2011 04:52 ПП	-	Народ и власть	2011/May/1024.txt	жилье для ветеран
ТЕПЕРЬ ОЧЕРЕДЬ ЦАРИЦЫ ПОЛЕЙ	Май 17th, 2011 11:50 ДП	-	Разное	2011/May/1025.txt	теперь очередь царица поле
МОЛОДЕЖЬ СТАРТУЕТ!	Май 17th, 2011 11:49 ДП	-	Спорт	2011/May/1026.txt	молодежь стартовать!
СТРАНА КРЕПКА ТАКИМИ СЕМЬЯМИ	Май 17th, 2011 11:48 ДП	-	Судьбы людские	2011/May/1027.txt	страна крепкий такой семья
МЕЖДУНАРОДНЫЙ ДЕНЬ ДЕТСКОГО ТЕЛЕФОНА ДОВЕРИЯ	Май 17th, 2011 11:45 ДП	-	Информация	2011/May/1028.txt	международный день детский телефон доверие
СТОЯЩИЕ НА ЛИНИИ ОГНЯ	Май 6th, 2011 09:27 ДП	-	Профессиональный праздник	2011/May/1029.txt	стоять на линия огонь
ДРУГ ДРУГУ — НАДЕЖДА И ОПОРА	Май 6th, 2011 09:21 ДП	-	Судьбы людские	2011/May/1030.txt	друг друг — надежда и опора
В ЛЮБВИ, ТРУДЕ И ДРУЖБЕ	Май 6th, 2011 09:09 ДП	-	Судьбы людские	2011/May/1031.txt	в любовь, труд и дружба
БЛАГОЕ ДЕЛО	Май 6th, 2011 09:08 ДП	-	Письмо в газету	2011/May/1032.txt	благой дело
ТРИ МЕСЯЦА В ОПАСНОЙ ЗОНЕ	Май 6th, 2011 09:07 ДП	-	Судьбы людские	2011/May/1033.txt	три месяц в опасный зона
И СЕЯТЬ, И САЖАТЬ — В ОДИН ДЕНЬ	Май 6th, 2011 09:06 ДП	-	Район: день за днем	2011/May/1034.txt	и сеять, и сажать — в один день
ЕЕ ДОМ — ОСТРОВОК, ГДЕ ТЕПЛО И УЮТНО	Май 17th, 2011 10:28 ДП	-	Судьбы людские	2011/May/1035.txt	ее дом — островок, где тепло и уютно
В ПОЛУШАГЕ ОТ КАНИКУЛ	Май 17th, 2011 10:26 ДП	-	Разное	2011/May/1036.txt	в полушаг от каникулы
СПАСИБО ЗА РАДОСТЬ	Январь 20th, 2016 12:48 ПП	-	Письмо в газету	2016/January/1037.txt	спасибо за радость
НОВОГОДНИЙ  КАЛЕЙДОСКОП	Январь 20th, 2016 12:47 ПП	-	Разное	2016/January/1038.txt	новогодний  калейдоскоп
ЯРКО И ТОРЖЕСТВЕННО	Январь 20th, 2016 12:46 ПП	-	Разное	2016/January/1039.txt	ярко и торжественно
ДОЛЬШЕ ВСЕГО ПРОДЕРЖАЛАСЬ ДУША…	Январь 20th, 2016 12:45 ПП	-	К 70-летию Великой Победы	2016/January/1040.txt	долго все продержаться душа…
ОСТОРОЖНО, КОНТРАФАКТНЫЙ АЛКОГОЛЬ!!	Январь 20th, 2016 12:43 ПП	-	Службы информируют	2016/January/1041.txt	осторожно, контрафактный алкоголь!!
МЫ ВСЕ НЕМНОЖКО ВОЛШЕБНИКИ!	Январь 20th, 2016 12:42 ПП	-	Письмо в газету	2016/January/1042.txt	мы все немножко волшебник!
ПРАЗДНИЧНЫЕ ГУЛЯНИЯ В ДАРКОВИЧАХ	Январь 20th, 2016 12:41 ПП	-	Разное	2016/January/1043.txt	праздничный гуляние в даркович
ФЕЙЕРВЕРК ВПЕЧАТЛЕНИЙ	Январь 15th, 2016 11:27 ДП	-	Разное	2016/January/1044.txt	фейерверк впечатление
РОЖДЕСТВЕНСКИЙ СЮРПРИЗ	Январь 15th, 2016 11:27 ДП	-	Разное	2016/January/1045.txt	рождественский сюрприз
ЭТОТ НОВЫЙ ГОД …	Январь 15th, 2016 11:26 ДП	-	Разное	2016/January/1046.txt	этот новый год …
КРЕЩЕНСКОЕ КУПАНИЕ	Январь 15th, 2016 11:25 ДП	-	Информация	2016/January/1047.txt	крещенский купание
ЗИМНИЕ КАНИКУЛЫ В СТАРОСЕЛЬЕ	Январь 15th, 2016 11:20 ДП	-	Разное	2016/January/1048.txt	зимний каникулы в староселье
«ОТ РОЖДЕСТВА К РОЖДЕСТВУ»	Январь 14th, 2016 12:19 ПП	-	Разное	2016/January/1049.txt	«от рождество к рождество»
ИНФОРМКУРЬЕР	Январь 14th, 2016 12:19 ПП	-	Район: день за днем	2016/January/1050.txt	информкурьер
ПУТЕШЕСТВИЕ ПО КРЕСТЬЯНСКОЙ ИЗБЕ	Январь 14th, 2016 12:18 ПП	-	Район: день за днем	2016/January/1051.txt	путешествие по крестьянский изба
ТВОРИТЕ ДОБРО — И БУДЕТЕ СЧАСТЛИВЫ!	Январь 14th, 2016 12:15 ПП	-	Район: день за днем	2016/January/1052.txt	творить добро — и быть счастливый!
С 2016 ГОДА РАБОТАЮЩИЕ ПЕНСИОНЕРЫ БУДУТ ПОЛУЧАТЬ СТРАХОВУЮ ПЕНСИЮ БЕЗ УЧЕТА ИНДЕКСАЦИИ	Январь 14th, 2016 12:14 ПП	-	Службы информируют	2016/January/1053.txt	с 2016 год работать пенсионер быть получать страховой пенсия без учет индексация
О СВЕТОВОЗВРАЩАЮЩИХ ЭЛЕМЕНТАХ	Ноябрь 6th, 2015 09:21 ДП	-	Район: день за днем	2015/November/1054.txt	о световозвращающий элемент
ЦВЕТИ, ЗЕМЛЯ ДОБРУНСКАЯ!	Ноябрь 6th, 2015 09:20 ДП	-	Район: день за днем	2015/November/1055.txt	цвести, земля добрунский!
ОЧЕРЕДНАЯ ПЕРЕПИСЬ МАЛОГО БИЗНЕСА	Ноябрь 6th, 2015 09:15 ДП	-	Службы информируют	2015/November/1056.txt	очередной перепись малый бизнес
«Новостной реестр выгодных предложений регионов России» (www. newrussianmarkets.com)	Ноябрь 5th, 2015 12:47 ПП	-	Информация	2015/November/1057.txt	«новостной реестр выгодный предложение регион россия» (www. newrussianmarkets.com)
Опубликование нормативных правовых актов и уставов муниципальных образований	Ноябрь 5th, 2015 12:46 ПП	-	Службы информируют	2015/November/1058.txt	опубликование нормативный правовой акт и устав муниципальный образование
ТЕСНОЕ ВЗАИМОДЕЙСТВИЕ НА БЛАГО ОБЩЕСТВА	Ноябрь 5th, 2015 09:10 ДП	-	Народ и власть	2015/November/1059.txt	тесный взаимодействие на благо общество
РЕШАТЬ ПРОБЛЕМУ СООБЩА	Ноябрь 5th, 2015 09:09 ДП	-	Народ и власть	2015/November/1060.txt	решать проблема сообща
ИНФОРМКУРЬЕР	Ноябрь 5th, 2015 09:08 ДП	-	Район: день за днем	2015/November/1061.txt	информкурьер
РУССКИЙ ЯЗЫК — НАШЕ ОБЩЕЕ ДОСТОЯНИЕ	Ноябрь 13th, 2015 09:57 ДП	-	Разное	2015/November/1062.txt	русский язык — наш общий достояние
«КОМСОМОЛУ ПОСВЯЩАЕТСЯ»	Ноябрь 13th, 2015 09:54 ДП	-	Разное	2015/November/1063.txt	«комсомол посвящаться»
АЛЕКСАНДР БОГОМАЗ — ИЗБРАННЫЙ ГУБЕРНАТОР БРЯНЩИНЫ	Сентябрь 16th, 2015 09:41 ДП	-	Народ и власть	2015/September/1064.txt	александр богомаз — избранный губернатор брянщина
ДЕНЬ ГОЛОСОВАНИЯ В БРЯНСКОМ РАЙОНЕ	Сентябрь 16th, 2015 09:39 ДП	-	Район: день за днем	2015/September/1065.txt	день голосование в брянский район
ЗА СТУДЕНТОВ-ОЧНИКОВ РОДИТЕЛЯМ-ПЕНСИОНЕРАМ ПОЛОЖЕН ПОВЫШЕННЫЙ РАЗМЕР ПЕНСИИ	Сентябрь 16th, 2015 09:38 ДП	-	Службы информируют	2015/September/1066.txt	за студент-очник родитель-пенсионер полагать повышенный размер пенсия
УРОКИ КОМПЬЮТЕРНОЙ ГРАМОТНОСТИ ДЛЯ ПЕНСИОНЕРОВ	Сентябрь 16th, 2015 09:38 ДП	-	Службы информируют	2015/September/1067.txt	урок компьютерный грамотность для пенсионер
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Сентябрь 16th, 2015 09:37 ДП	-	Народ и власть	2015/September/1068.txt	в правительство область
ПРИГЛАШАЕМ НА ПРАЗДНИК	Сентябрь 16th, 2015 09:34 ДП	-	Разное	2015/September/1069.txt	приглашать на праздник
СТИПЕНДИАТЫ БРЯНСКОГО РАЙОНА	Сентябрь 16th, 2015 09:33 ДП	-	В администрации района	2015/September/1070.txt	стипендиат брянский район
НАШ КРАСАВЕЦ МИЧУРИНСКИЙ	Сентябрь 16th, 2015 09:33 ДП	-	Район: день за днем	2015/September/1071.txt	наш красавец мичуринский
ё«СОЛНЫШКО» И ЭКОЛОГИЯ	Сентябрь 11th, 2015 12:04 ПП	-	Письмо в газету	2015/September/1072.txt	е«солнышко» и экология
СЕРГЕЙ ЛЕВИН: «Я ПРИЯТНО УДИВЛЁН УРОВНЕМ РАЗВИТИЯ СЕЛЬСКОГО ХОЗЯЙСТВА БРЯНЩИНЫ»	Сентябрь 9th, 2015 09:32 ДП	-	Народ и власть	2015/September/1073.txt	сергей левин: «я приятно удивлять уровень развитие сельский хозяйство брянщина»
НА «ЗИМНИЕ КВАРТИРЫ»	Сентябрь 9th, 2015 09:32 ДП	-	Район: день за днем	2015/September/1074.txt	на «зимний квартира»
В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ	Сентябрь 9th, 2015 09:31 ДП	-	Народ и власть	2015/September/1075.txt	в правительство область
