"Название статьи"	"Дата публикации"	"Автор статьи"	"Рубрика"	"Путь к файлу"
"ПО СЛЕДАМ ЛЕГЕНДАРНОЙ ПАМЯТИ"	"Январь 27th, 2016 11:56 ДП"	"-"	"Район: день за днем"	"2016/January/311.txt"
"УСТАНОВЛЕНА ВЕЛИЧИНА ПРОЖИТОЧНОГО МИНИМУМА ДЛЯ НАСЕЛЕНИЯ БРЯНСКОЙ ОБЛАСТИ"	"Январь 27th, 2016 11:56 ДП"	"-"	"Службы информируют"	"2016/January/312.txt"
"В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ"	"Январь 27th, 2016 11:55 ДП"	"-"	"Народ и власть"	"2016/January/313.txt"
"АККОРДОМ ЖЕЧЬ СЕРДЦА ЛЮДЕЙ"	"Январь 27th, 2016 11:55 ДП"	"-"	"Район: день за днем"	"2016/January/314.txt"
"НА ДОРОГАХ БРЯНСКОГО РАЙОНА"	"Январь 27th, 2016 11:54 ДП"	"-"	"Службы информируют"	"2016/January/315.txt"
"«ТРЕЩИ, НЕ ТРЕЩИ, А ПРОШЛИ ВОДОКРЕЩИ»"	"Январь 27th, 2016 11:54 ДП"	"-"	"Это интересно"	"2016/January/316.txt"
"ПРАЗДНИКИ В КРУГУ ДРУЗЕЙ"	"Январь 27th, 2016 11:53 ДП"	"-"	"Разное"	"2016/January/317.txt"
"СДЕЛАТЬ РАБОТУ МУНИЦИПАЛИТЕТОВ ЭФФЕКТИВНЕЙ"	"Январь 22nd, 2016 08:52 ДП"	"-"	"Народ и власть"	"2016/January/318.txt"
"ТВОРЧЕСТВО НАШИХ ДЕТЕЙ"	"Январь 22nd, 2016 08:52 ДП"	"-"	"Разное"	"2016/January/319.txt"
"КОЛОНКА РЕДАКТОРА"	"Январь 20th, 2016 12:55 ПП"	"-"	"Разное"	"2016/January/320.txt"
"КРЕЩЕНСКИЕ ТРАДИЦИИ"	"Январь 20th, 2016 12:54 ПП"	"-"	"Район: день за днем"	"2016/January/321.txt"
"РОЖДЕСТВЕНСКАЯ БЛАГОТВОРИТЕЛЬНОСТЬ"	"Январь 20th, 2016 12:53 ПП"	"-"	"Район: день за днем"	"2016/January/322.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Январь 20th, 2016 12:52 ПП"	"-"	"Народ и власть"	"2016/January/323.txt"
"ЭТО ВАЖНОЕ СЛОВО – ЕГЭ"	"Январь 20th, 2016 12:51 ПП"	"-"	"Спрашивали – отвечаем"	"2016/January/324.txt"
"О ТАРИФАХ НА Ж/Д ТРАНСПОРТЕ"	"Январь 20th, 2016 12:50 ПП"	"-"	"Информация"	"2016/January/325.txt"
"В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ"	"Январь 20th, 2016 12:49 ПП"	"-"	"Народ и власть"	"2016/January/326.txt"
"СПЕШИТЕ ДЕЛАТЬ ДОБРЫЕ ДЕЛА!"	"Январь 20th, 2016 12:48 ПП"	"-"	"Информация"	"2016/January/327.txt"
"ПОМОЖЕМ ДЕТЯМ ВМЕСТЕ"	"Январь 12th, 2016 01:22 ПП"	"-"	"Информация"	"2016/January/328.txt"
"СО СЛОВАМИ ПРИЗНАНИЯ И УВАЖЕНИЯ К ЖУРНАЛИСТАМ И ПОЛИГРАФИСТАМ"	"Январь 15th, 2016 11:35 ДП"	"-"	"Профессиональный праздник"	"2016/January/329.txt"
"МНОГОДЕТНЫЕ СЕМЬИ ПОЛУЧАТ БЕСПЛАТНУЮ ПРАВОВУЮ ПОМОЩЬ"	"Январь 15th, 2016 11:35 ДП"	"-"	"Информация"	"2016/January/330.txt"
"«СТУДЕНЧЕСКИЙ ДЕСАНТ»"	"Январь 15th, 2016 11:34 ДП"	"-"	"Информация"	"2016/January/331.txt"
"УФСКН РОССИИ ПО БРЯНСКОЙ ОБЛАСТИ: «ТЕЛЕФОН ДОВЕРИЯ»"	"Январь 15th, 2016 11:33 ДП"	"-"	"Службы информируют"	"2016/January/332.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Январь 15th, 2016 11:33 ДП"	"-"	"Народ и власть"	"2016/January/333.txt"
"НОВОСТИ ИЗ ДЮСШ"	"Январь 15th, 2016 11:32 ДП"	"-"	"Спорт"	"2016/January/334.txt"
"С ВНИМАНИЕМ К ПРОБЛЕМАМ НЕСОВЕРШЕННОЛЕТНИХ"	"Январь 15th, 2016 11:31 ДП"	"-"	"Службы информируют"	"2016/January/335.txt"
"«ЖИВА, ЖИВА ДУША ПОЭТА!»"	"Январь 15th, 2016 11:31 ДП"	"-"	"Это интересно"	"2016/January/336.txt"
"ПРЕКРАСНЫЙ ПЕДАГОГ, ДОСТОЙНЫЙ ЧЕЛОВЕК"	"Январь 15th, 2016 11:30 ДП"	"-"	"Наши земляки"	"2016/January/337.txt"
"В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ"	"Январь 15th, 2016 11:29 ДП"	"-"	"Народ и власть"	"2016/January/338.txt"
"НИКОЛАЙ ЯКУШЕНКО: РАБОТАТЬ ПО-ХОЗЯЙСКИ"	"Январь 22nd, 2016 09:03 ДП"	"-"	"Народ и власть"	"2016/January/339.txt"
"В РЯЗАНИ ЗНАЮТ НАШИ ЛАКОМСТВА"	"Январь 22nd, 2016 09:02 ДП"	"-"	"Это интересно"	"2016/January/340.txt"
"ИНФОРМКУРЬЕР"	"Январь 22nd, 2016 09:00 ДП"	"-"	"Район: день за днем"	"2016/January/341.txt"
"КВЕСТ «БЛОКАДА ЛЕНИНГРАДА»"	"Январь 22nd, 2016 08:58 ДП"	"-"	"Информация"	"2016/January/342.txt"
"ИДЕМ НА СВОЕ!"	"Январь 22nd, 2016 08:56 ДП"	"-"	"Разное"	"2016/January/343.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Январь 22nd, 2016 08:55 ДП"	"-"	"Народ и власть"	"2016/January/344.txt"
"НОВОГОДНИЙ ПРАЗДНИК"	"Январь 22nd, 2016 08:55 ДП"	"-"	"Разное"	"2016/January/345.txt"
"КОНКУРС «ЗДОРОВЬЕ И  БЕЗОПАСНОСТЬ»"	"Январь 22nd, 2016 08:54 ДП"	"-"	"Службы информируют"	"2016/January/346.txt"
"ВНИМАНИЮ РАБОТОДАТЕЛЕЙ!"	"Январь 22nd, 2016 08:54 ДП"	"-"	"Службы информируют"	"2016/January/347.txt"
"В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ"	"Январь 22nd, 2016 08:53 ДП"	"-"	"Народ и власть"	"2016/January/348.txt"
"ВАМ МОГУТ ПОМОЧЬ"	"Февраль 3rd, 2016 08:57 ДП"	"-"	"Службы информируют"	"2016/February/349.txt"
"НАЧАЛСЯ ОТБОР КАНДИДАТОВ"	"Февраль 3rd, 2016 08:56 ДП"	"-"	"Информация"	"2016/February/350.txt"
"ПРИГЛАШАЕМ НА СЛУЖБУ"	"Февраль 3rd, 2016 08:56 ДП"	"-"	"Информация"	"2016/February/351.txt"
"ВОСПИТАТЕЛЯМ ПОМОЖЕТ ЕЁ МЕТОДИКА"	"Февраль 3rd, 2016 08:55 ДП"	"-"	"Наши земляки"	"2016/February/352.txt"
"КОМПОЗИТОР, ПЕВЕЦ, ПОЭТ"	"Февраль 3rd, 2016 08:54 ДП"	"-"	"Наши земляки"	"2016/February/353.txt"
"ПЕСНИ И ТАНЦЫ ДЛЯ БЛАГОГО ДЕЛА"	"Февраль 3rd, 2016 08:53 ДП"	"-"	"Район: день за днем"	"2016/February/354.txt"
"ВНИМАНИЮ ПРЕДСТАВИТЕЛЕЙ БИЗНЕСА, ПОТРЕБИТЕЛЕЙ ТОВАРОВ И УСЛУГ"	"Февраль 1st, 2016 08:40 ДП"	"-"	"Службы информируют"	"2016/February/355.txt"
"ВПЕРЕДИ — НОВЫЙ ГОД"	"Ноябрь 18th, 2015 09:12 ДП"	"-"	"Службы информируют"	"2015/November/356.txt"
"НАЛОГОВАЯ СЛУЖБА СЕГОДНЯ"	"Ноябрь 18th, 2015 09:11 ДП"	"-"	"Профессиональный праздник"	"2015/November/357.txt"
"ГОТОВИМСЯ К ЕГЭ: ИТОГОВОЕ СОЧИНЕНИЕ"	"Ноябрь 18th, 2015 09:09 ДП"	"-"	"Спрашивали – отвечаем"	"2015/November/358.txt"
"«ПОРТРЕТ СЕЛЬСКОЙ РОССИИ»"	"Ноябрь 18th, 2015 09:09 ДП"	"-"	"Информация"	"2015/November/359.txt"
"ЧУДЕСНЫЕ ДЕВЧУШКИ"	"Ноябрь 18th, 2015 09:08 ДП"	"-"	"Это интересно"	"2015/November/360.txt"
"БРЯНСКИЕ ЕДИНОРОССЫ ПОДЕЛЯТСЯ ОПЫТОМ ПРОВЕДЕНИЯ ПРАЙМЕРИЗ С КОЛЛЕГАМИ"	"Ноябрь 13th, 2015 11:33 ДП"	"-"	"Народ и власть"	"2015/November/361.txt"
"«МОЛОДЫЕ ДАРОВАНИЯ РОССИИ»"	"Ноябрь 13th, 2015 10:04 ДП"	"-"	"Наши земляки"	"2015/November/362.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Ноябрь 13th, 2015 10:03 ДП"	"-"	"Народ и власть"	"2015/November/363.txt"
"ЛУЧШИЕ ПРЕДСТАВИТЕЛИ ОТРАСЛИ КУЛЬТУРЫ БРЯНСКОГО РАЙОНА"	"Ноябрь 13th, 2015 10:02 ДП"	"-"	"В администрации района"	"2015/November/364.txt"
"ДЕНЬ РОЖДЕНИЯ ГИМНАЗИИ"	"Ноябрь 13th, 2015 10:01 ДП"	"-"	"Район: день за днем"	"2015/November/365.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Ноябрь 5th, 2015 09:07 ДП"	"-"	"Народ и власть"	"2015/November/366.txt"
"ПОЭТИЧЕСКАЯ «МОЯ РОДИНА»"	"Ноябрь 5th, 2015 09:07 ДП"	"-"	"Разное"	"2015/November/367.txt"
"Туристический патриотический маршрут: «Бой у деревни Зайцев двор»"	"Ноябрь 5th, 2015 09:06 ДП"	"-"	"Увековечение памяти защитников Отечества"	"2015/November/368.txt"
"ПО ПАРТИЗАНСКОЙ ТРОПЕ"	"Ноябрь 5th, 2015 09:03 ДП"	"-"	"Увековечение памяти защитников Отечества"	"2015/November/369.txt"
"НА МЕСТЕ БОЕВОГО БРАТСТВА"	"Ноябрь 5th, 2015 09:01 ДП"	"-"	"Увековечение памяти защитников Отечества"	"2015/November/370.txt"
"ЖИВИТЕ В МИРЕ!"	"Ноябрь 5th, 2015 09:00 ДП"	"-"	"Разное"	"2015/November/371.txt"
"МЫ ЕДИНЫ!"	"Ноябрь 6th, 2015 09:29 ДП"	"-"	"Район: день за днем"	"2015/November/372.txt"
"СОХРАНИТЬ НАЦИОНАЛЬНУЮ КУЛЬТУРУ"	"Ноябрь 6th, 2015 09:28 ДП"	"-"	"Район: день за днем"	"2015/November/373.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Ноябрь 6th, 2015 09:27 ДП"	"-"	"Народ и власть"	"2015/November/374.txt"
"ПРОЖИТОЧНЫЙ МИНИМУМ БРЯНСКОГО ПЕНСИОНЕРА УВЕЛИЧИТСЯ"	"Ноябрь 6th, 2015 09:26 ДП"	"-"	"Службы информируют"	"2015/November/375.txt"
"«ВЕНОК ДРУЖБЫ»"	"Ноябрь 6th, 2015 09:25 ДП"	"-"	"Район: день за днем"	"2015/November/376.txt"
"БУДЬТЕ ОСТОРОЖНЫ НА ЛЬДУ!"	"Ноябрь 6th, 2015 09:25 ДП"	"-"	"Службы информируют"	"2015/November/377.txt"
"ПРЕСЕЧЕНО УКЛОНЕНИЕ ОТ ИСПОЛНЕНИЯ ТРЕБОВАНИЙ ДОСТУПНОСТИ  ДЛЯ ИНВАЛИДОВ ОБЪЕКТОВ ТРАНСПОРТНОЙ ИНФРАСТРУКТУРЫ"	"Ноябрь 6th, 2015 09:24 ДП"	"-"	"Службы информируют"	"2015/November/378.txt"
"ОСЕННИЙ БАЛ"	"Ноябрь 6th, 2015 09:24 ДП"	"-"	"Письмо в газету"	"2015/November/379.txt"
"ЧТО ЧИТАЮТ ЖИТЕЛИ СЕЛА МАЛОЕ ПОЛПИНО"	"Ноябрь 6th, 2015 09:23 ДП"	"-"	"Разное"	"2015/November/380.txt"
"ДОБРАЯ ОСЕННЯЯ ТРАДИЦИЯ"	"Ноябрь 6th, 2015 09:22 ДП"	"-"	"Это интересно"	"2015/November/381.txt"
"В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ"	"Ноябрь 13th, 2015 10:00 ДП"	"-"	"Народ и власть"	"2015/November/382.txt"
"«БРЯНЩИНА — ЖИЗНЬ БЕЗ НАРКОТИКОВ»"	"Ноябрь 13th, 2015 09:59 ДП"	"-"	"Службы информируют"	"2015/November/383.txt"
"СТРАХОВАТЕЛИ БРЯНСКОГО РАЙОНА АКТИВНО ПОЛЬЗУЮТСЯ УСЛУГАМИ КАБИНЕТА ПЛАТЕЛЬЩИКА"	"Ноябрь 13th, 2015 09:58 ДП"	"-"	"Службы информируют"	"2015/November/384.txt"
"ДЕНЬ ОТКРЫТЫХ ДВЕРЕЙ"	"Ноябрь 13th, 2015 09:58 ДП"	"-"	"Информация"	"2015/November/385.txt"
"ЯРМАРКА УЧЕБНЫХ МЕСТ"	"Ноябрь 13th, 2015 09:57 ДП"	"-"	"Информация"	"2015/November/386.txt"
"ПОЛУЧИЛИ ПОЛЕЗНЫЕ ЗНАНИЯ"	"Ноябрь 25th, 2015 11:47 ДП"	"-"	"В администрации района"	"2015/November/387.txt"
"«ВОЛШЕБНАЯ ФЛЕЙТА»"	"Ноябрь 25th, 2015 11:47 ДП"	"-"	"Наши земляки"	"2015/November/388.txt"
"«ВСЮ ЖИЗНЬ ЛЮБИЛ ОН РИСОВАТЬ ВОЙНУ»"	"Ноябрь 25th, 2015 11:46 ДП"	"-"	"Это интересно"	"2015/November/389.txt"
"ДЕНЬ ТОЛЕРАНТНОСТИ"	"Ноябрь 25th, 2015 11:45 ДП"	"-"	"Письмо в газету"	"2015/November/390.txt"
"ИНДИВИДУАЛЬНЫМ ПРЕДПРИНИМАТЕЛЯМ НЕОБХОДИМО СВЕРИТЬ ПЛАТЕЖИ В ПФР"	"Ноябрь 25th, 2015 11:44 ДП"	"-"	"Службы информируют"	"2015/November/391.txt"
"СОЗВЕЗДИЕ ТАЛАНТОВ"	"Ноябрь 25th, 2015 11:44 ДП"	"-"	"Наши земляки"	"2015/November/392.txt"
"БОЛЬШАЯ, ДРУЖНАЯ СЕМЬЯ, ОСОБЫЙ МИР"	"Сентябрь 30th, 2015 10:00 ДП"	"-"	"Разное"	"2015/September/393.txt"
"НАДЗОРНЫЕ МЕРОПРИЯТИЯ ПО ОСЕННЕМУ ПРИЗЫВУ НА ВОЕННУЮ СЛУЖБУ"	"Сентябрь 30th, 2015 09:56 ДП"	"-"	"Службы информируют"	"2015/September/394.txt"
"В СЕЛЬХОЗПРЕДПРИЯТИЯХ ИДЕТ ОЗИМЫЙ СЕВ"	"Сентябрь 25th, 2015 10:01 ДП"	"-"	"Район: день за днем"	"2015/September/395.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Сентябрь 25th, 2015 09:59 ДП"	"-"	"Народ и власть"	"2015/September/396.txt"
"УЧИМСЯ, РАЗВИВАЕМСЯ, СОВЕРШЕНСТВУЕМСЯ"	"Сентябрь 25th, 2015 09:57 ДП"	"-"	"Профессиональный праздник"	"2015/September/397.txt"
"«ВЕСЕЛЫЕ СТАРТЫ» БРЯНСКОГО РАЙОНА"	"Сентябрь 25th, 2015 09:53 ДП"	"-"	"Спорт"	"2015/September/398.txt"
"В 12 МАЛЬЧИШЕСКИХ ЛЕТ…"	"Сентябрь 25th, 2015 09:52 ДП"	"-"	"«Творцы Победы»"	"2015/September/399.txt"
"НЕЗАВИСИМАЯ ОЦЕНКА ПОЖАРНЫХ РИСКОВ"	"Сентябрь 25th, 2015 09:51 ДП"	"-"	"Службы информируют"	"2015/September/400.txt"
"ПРИЗВАНИЕ ДЕЛАТЬ ДЕТЕЙ СЧАСТЛИВЫМИ"	"Сентябрь 25th, 2015 09:51 ДП"	"-"	"Профессиональный праздник"	"2015/September/401.txt"
"СПАСИБО ЗА НЕРАВНОДУШИЕ"	"Сентябрь 25th, 2015 09:49 ДП"	"-"	"Письмо в газету"	"2015/September/402.txt"
"ВСЕРОССИЙСКИЙ ДЕНЬ БЕГА"	"Сентябрь 23rd, 2015 09:30 ДП"	"-"	"Информация"	"2015/September/403.txt"
"СПАСИБО ЗА ПОМОЩЬ"	"Сентябрь 23rd, 2015 09:29 ДП"	"-"	"Службы информируют"	"2015/September/404.txt"
"МОЯ РОДИНА — БРЯНЩИНА!"	"Сентябрь 23rd, 2015 09:28 ДП"	"-"	"Район: день за днем"	"2015/September/405.txt"
"ПРИНЦИПЫ ЗДОРОВОГО ПИТАНИЯ ШКОЛЬНИКОВ"	"Сентябрь 23rd, 2015 09:28 ДП"	"-"	"Это интересно"	"2015/September/406.txt"
"СПАСИБО ЗА ПОДДЕРЖКУ"	"Сентябрь 23rd, 2015 09:27 ДП"	"-"	"Разное"	"2015/September/407.txt"
"СРЕДИ ЛИДЕРОВ В КОНКУРЕ"	"Сентябрь 23rd, 2015 09:26 ДП"	"-"	"Наши земляки"	"2015/September/408.txt"
"О РАССЛЕДОВАНИИ КРАЖИ МОБИЛЬНОГО ТЕЛЕФОНА"	"Сентябрь 23rd, 2015 09:24 ДП"	"-"	"Происшествия"	"2015/September/409.txt"
"СПАСИБО ЗА ТРУД И ЗАБОТУ!"	"Сентябрь 23rd, 2015 09:24 ДП"	"-"	"Письмо в газету"	"2015/September/410.txt"
"У СЕЛЬСКОХОЗЯЙСТВЕННОЙ ПЕРЕПИСИ ЕСТЬ СВОЙ ТАЛИСМАН"	"Сентябрь 23rd, 2015 09:23 ДП"	"-"	"Службы информируют"	"2015/September/411.txt"
"С ПРАЗДНИКОМ, БРЯНСК!"	"Сентябрь 16th, 2015 09:41 ДП"	"-"	"Разное"	"2015/September/412.txt"
"ПРИГЛАШАЕМ НА ПРАЗДНИК"	"Сентябрь 2nd, 2015 02:55 ПП"	"-"	"Информация"	"2015/September/413.txt"
"ПЕРВЫЙ РАЗ —  В ПЕРВЫЙ КЛАСС"	"Сентябрь 2nd, 2015 10:06 ДП"	"-"	"Район: день за днем"	"2015/September/414.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Сентябрь 2nd, 2015 10:04 ДП"	"-"	"Народ и власть"	"2015/September/415.txt"
"СВЕНСКОЙ ЯРМАРКИ КРАСКИ"	"Сентябрь 2nd, 2015 10:03 ДП"	"-"	"Разное"	"2015/September/416.txt"
"СВЕНСКОЙ ЯРМАРКИ КРАСКИ"	"Сентябрь 2nd, 2015 10:02 ДП"	"-"	"Разное"	"2015/September/417.txt"
"ПЕРВЫЕ НОВОСЕЛЬЯ В НОВОМ МИКРОРАЙОНЕ"	"Сентябрь 2nd, 2015 10:00 ДП"	"-"	"Район: день за днем"	"2015/September/418.txt"
"ИНФОРМКУРЬЕР"	"Сентябрь 2nd, 2015 10:00 ДП"	"-"	"Район: день за днем"	"2015/September/419.txt"
"БЫТЬ ПАТРИОТОМ НЕ НА СЛОВАХ, А В РЕАЛЬНОЙ ЖИЗНИ"	"Сентябрь 2nd, 2015 09:59 ДП"	"-"	"Народ и власть"	"2015/September/420.txt"
"с Днем работников  нефтяной и газовой промышленности "	"Сентябрь 7th, 2015 09:41 ДП"	"-"	"Разное"	"2015/September/421.txt"
"ВЫБОРЫ-2015"	"Сентябрь 11th, 2015 12:19 ПП"	"-"	"Информация"	"2015/September/422.txt"
"ПЕРЕСЕЛЕНИЕ ИЗ ВЕТХОГО ЖИЛЬЯ — НА КОНТРОЛЕ ОБЛАСТНОЙ ВЛАСТИ"	"Сентябрь 11th, 2015 12:13 ПП"	"-"	"Народ и власть"	"2015/September/423.txt"
"ДВЕ ГЛАВНЫЕ ЗАДАЧИ ВЫПОЛНЕНЫ"	"Сентябрь 11th, 2015 12:11 ПП"	"-"	"Район: день за днем"	"2015/September/424.txt"
"ОТКРЫТИЕ ЦЕНТРА ПРАВОСЛАВНОЙ КУЛЬТУРЫ"	"Сентябрь 11th, 2015 12:11 ПП"	"-"	"Район: день за днем"	"2015/September/425.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Сентябрь 11th, 2015 12:10 ПП"	"-"	"Народ и власть"	"2015/September/426.txt"
"«РАТНОМУ ПОДВИГУ СЛАВУ ПОЁМ»"	"Сентябрь 11th, 2015 12:09 ПП"	"-"	"Информация"	"2015/September/427.txt"
"ПОЛЕ ЧЕСТИ"	"Сентябрь 11th, 2015 12:09 ПП"	"-"	"«Творцы Победы»"	"2015/September/428.txt"
"ВЫПЛАТА ПЕНСИИ  ЗА АВГУСТ В БРЯНСКОМ РАЙОНЕ ПРОШЛА БЕЗ СБОЕВ"	"Сентябрь 11th, 2015 12:08 ПП"	"-"	"Службы информируют"	"2015/September/429.txt"
"ПОРЯДОК ВЗИМАНИЯ ПЛАТЫ ЗА СОЦИАЛЬНЫЕ УСЛУГИ В ФОРМЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НА ДОМУ"	"Сентябрь 11th, 2015 12:07 ПП"	"-"	"Службы информируют"	"2015/September/430.txt"
"ТРЕЗВАЯ СЕМЬЯ — ЗДОРОВАЯ НАЦИЯ"	"Сентябрь 11th, 2015 12:06 ПП"	"-"	"Здоровье"	"2015/September/431.txt"
"РАЗГОВОР С ПРЕЗИДЕНТОМ"	"Сентябрь 23rd, 2015 09:35 ДП"	"-"	"Народ и власть"	"2015/September/432.txt"
"НЕ ПРОХОДИТЕ МИМО!"	"Сентябрь 23rd, 2015 09:35 ДП"	"-"	"Здоровье"	"2015/September/433.txt"
"«БРЯНЩИНА — ЖИЗНЬ БЕЗ НАРКОТИКОВ!»"	"Сентябрь 23rd, 2015 09:34 ДП"	"-"	"Здоровье"	"2015/September/434.txt"
"В ЭТОМ ЧЕЛОВЕКЕ ВСЁ ПРЕКРАСНО"	"Сентябрь 23rd, 2015 09:33 ДП"	"-"	"Наши земляки"	"2015/September/435.txt"
"МАТЕРИНСКИЙ КАПИТАЛ — НА ОПЛАТУ ОБУЧЕНИЯ В ВУЗЕ И ПРОЖИВАНИЯ В ОБЩЕЖИТИИ"	"Сентябрь 23rd, 2015 09:32 ДП"	"-"	"Службы информируют"	"2015/September/436.txt"
"МИНУВШИХ ДНЕЙ СВЯТУЮ ПАМЯТЬ МЫ БУДЕМ БЕРЕЖНО ХРАНИТЬ"	"Сентябрь 23rd, 2015 09:32 ДП"	"-"	"Район: день за днем"	"2015/September/437.txt"
"ИНФОРМКУРЬЕР"	"Сентябрь 23rd, 2015 09:31 ДП"	"-"	"Район: день за днем"	"2015/September/438.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Сентябрь 23rd, 2015 09:31 ДП"	"-"	"Народ и власть"	"2015/September/439.txt"
"ДМИТРИЙ СКЛЕМА — ДВУКРАТНЫЙ ЧЕМПИОН ЕВРОПЫ"	"Июль 24th, 2015 10:41 ДП"	"-"	"Спорт"	"2015/July/440.txt"
"ДИПЛОМЫ РУКОВОДИТЕЛЯМ МУНИЦИПАЛЬНЫХ ОБРАЗОВАНИЙ"	"Июль 24th, 2015 10:32 ДП"	"-"	"Народ и власть"	"2015/July/441.txt"
"НАДЕЖНОЕ ПЛЕЧО ГРАЖДАНСКОГО ОБЩЕСТВА"	"Июль 24th, 2015 10:32 ДП"	"-"	"Наши земляки"	"2015/July/442.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Июль 24th, 2015 10:31 ДП"	"-"	"Народ и власть"	"2015/July/443.txt"
"РЕГИОНАЛЬНЫЙ ФОНД КАПИТАЛЬНОГО РЕМОНТА МНОГОКВАРТИРНЫХ ДОМОВ БРЯНСКОЙ ОБЛАСТИ — ГЛАВНЫЙ ПОМОЩНИК ДЛЯ СОБСТВЕННИКОВ В ПРОВЕДЕНИИ КАПИТАЛЬНОГО РЕМОНТА ИХ МНОГОКВАРТИРНОГО ДОМА"	"Июль 24th, 2015 10:30 ДП"	"-"	"Службы информируют"	"2015/July/444.txt"
"ЖАТВА НАЧАЛАСЬ"	"Июль 24th, 2015 10:29 ДП"	"-"	"Район: день за днем"	"2015/July/445.txt"
"СОЦИАЛЬНОЕ ОБСЛУЖИВАНИЕ ГРАЖДАН"	"Июль 24th, 2015 10:29 ДП"	"-"	"Службы информируют"	"2015/July/446.txt"
"ЯРМАРКИ ВЫХОДНОГО ДНЯ"	"Июль 24th, 2015 10:28 ДП"	"-"	"Информация"	"2015/July/447.txt"
"ВЕЛИКИЙ ПОДВИГ ЖЕНЩИНЫ В ГОДЫ  ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ"	"Июль 24th, 2015 10:26 ДП"	"-"	"«Творцы Победы»"	"2015/July/448.txt"
"ХОТЫЛЕВСКИЙ «МОСТ» СОБРАЛ МОЛОДЕЖЬ"	"Июль 23rd, 2015 09:01 ДП"	"-"	"Район: день за днем"	"2015/July/449.txt"
"ПАМЯТЬ О ГЕРОЯХ ЖИВЕТ  В СЕРДЦАХ ПОКОЛЕНИЙ"	"Июль 2nd, 2015 07:26 ДП"	"-"	"К 70-летию Великой Победы"	"2015/July/450.txt"
"РАЙОН БРЯНСКИЙ — КРАЙ ПАРТИЗАНСКИЙ"	"Июль 2nd, 2015 07:25 ДП"	"-"	"К 70-летию Великой Победы"	"2015/July/451.txt"
"БЮДЖЕТ ПОШЁЛ НА ПОПРАВКУ"	"Июль 2nd, 2015 07:22 ДП"	"-"	"Народ и власть"	"2015/July/452.txt"
"«ВЫ — НАШЕ БУДУЩЕЕ, НАША ГОРДОСТЬ»"	"Июль 2nd, 2015 07:22 ДП"	"-"	"В администрации района"	"2015/July/453.txt"
"ИНФОРМКУРЬЕР"	"Июль 2nd, 2015 07:20 ДП"	"-"	"Район: день за днем"	"2015/July/454.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Июль 2nd, 2015 07:20 ДП"	"-"	"Народ и власть"	"2015/July/455.txt"
"«ДЕНЬ НЕПТУНА»"	"Июль 2nd, 2015 07:19 ДП"	"-"	"Разное"	"2015/July/456.txt"
"МОЁ ПОСЛЕВОЕННОЕ ДЕТСТВО"	"Июль 2nd, 2015 07:18 ДП"	"-"	"К 70-летию Великой Победы"	"2015/July/457.txt"
"«ДЕНЬ БРЯНСКОГО ПОЛЯ — 2015»"	"Июль 2nd, 2015 07:17 ДП"	"-"	"Информация"	"2015/July/458.txt"
"ВЫСТАВКА БРЯНСКОЙ ОБЛАСТИ В ГОСУДАРСТВЕННОЙ ДУМЕ"	"Июль 3rd, 2015 08:01 ДП"	"-"	"Народ и власть"	"2015/July/459.txt"
"ЖИВА ПАМЯТЬ О ВОЙНЕ"	"Июль 3rd, 2015 08:00 ДП"	"-"	"«Творцы Победы»"	"2015/July/460.txt"
"БРЯНСКИЙ ОНФ ВСТРЕТИЛ УЧАСТНИКОВ МЕЖДУНАРОДНОЙ ЭСТАФЕТЫ"	"Июль 3rd, 2015 07:59 ДП"	"-"	"Народ и власть"	"2015/July/461.txt"
"ТЕПЛО СЕМЕЙНОГО ОЧАГА"	"Июль 3rd, 2015 07:58 ДП"	"-"	"Наши земляки"	"2015/July/462.txt"
"ДО СВИДАНИЯ, ГИМНАЗИЯ!"	"Июль 3rd, 2015 07:51 ДП"	"-"	"Район: день за днем"	"2015/July/463.txt"
